cfbd_game_id,sched_game_id,season,week,date,home,away,home_margin,home_win,diff_Id,diff_PregameElo,elevation,latitude,longitude,capacity,homeConference_American Athletic,homeConference_Big 12,homeConference_Big East,homeConference_Big Sky,homeConference_Big South,homeConference_Big Ten,homeConference_CAA,homeConference_Conference USA,homeConference_FBS Independents,homeConference_Ivy,homeConference_Mid-American,homeConference_Mountain West,homeConference_OVC,homeConference_Pac-10,homeConference_Pac-12,homeConference_SEC,homeConference_Sun Belt,homeConference_Western Athletic,awayConference_AWC,awayConference_American Athletic,awayConference_Atlantic 10,awayConference_Atlantic Sun,awayConference_Big 12,awayConference_Big East,awayConference_Big Sky,awayConference_Big South,awayConference_Big South-OVC,awayConference_Big Ten,awayConference_CAA,awayConference_Conference USA,awayConference_FBS Independents,awayConference_FCS Independents,awayConference_Great West,awayConference_MEAC,awayConference_MVFC,awayConference_Mid-American,awayConference_Mountain West,awayConference_NEC,awayConference_OVC,awayConference_Pac-10,awayConference_Pac-12,awayConference_Patriot,awayConference_Pioneer,awayConference_SEC,awayConference_SWAC,awayConference_Southern,awayConference_Southland,awayConference_Sun Belt,awayConference_UAC,awayConference_Unknown,awayConference_Western Athletic,conf_home_aac,conf_home_acc,conf_home_big-east,conf_home_big10,conf_home_big12,conf_home_cusa,conf_home_ind,conf_home_mac,conf_home_mwc,conf_home_pac12,conf_home_sec,conf_home_sun-belt,conf_home_wac,conf_away_aac,conf_away_acc,conf_away_big-east,conf_away_big10,conf_away_big12,conf_away_cusa,conf_away_ind,conf_away_mac,conf_away_mwc,conf_away_pac12,conf_away_sec,conf_away_sun-belt,conf_away_wac
24464,13362,2018,6.0,2018-10-06,Stanford,Utah,-19.0,0,-230,141.0,18.38425636,37.4345556,-122.1611271,50424.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24468,13366,2018,7.0,2018-10-11,Texas State,Georgia Southern,-2.0,0,36,-422.0,177.8676453,29.8910008,-97.9255735,30000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24469,13367,2018,7.0,2018-10-11,TCU,Texas Tech,-3.0,0,-13,92.0,185.4387054,32.7096604,-97.3680835,46000.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24472,13369,2018,7.0,2018-10-12,San Diego State,Air Force,4.0,1,-1984,81.0,16.28476334,32.7831122,-117.1195716,70561.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24473,13370,2018,7.0,2018-10-12,Utah,Arizona,32.0,1,242,201.0,1411.543579,40.7599724,-111.8488255,51444.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
24413,13340,2018,6.0,2018-10-06,Florida,LSU,8.0,1,-42,-169.0,44.97250748,29.6499357,-82.3485788,88548.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24412,13339,2018,6.0,2018-10-06,Wake Forest,Clemson,-60.0,0,-74,-387.0,283.548584,36.1305507,-80.2545851,31500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
24406,13337,2018,6.0,2018-10-06,Oklahoma State,Iowa State,-6.0,0,131,136.0,276.4808655,36.125673,-97.066513,55509.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
24370,13323,2018,6.0,2018-10-06,Arkansas,Alabama,-34.0,0,-325,-890.0,403.7972412,36.0680662,-94.1789534,80000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
24357,13313,2018,6.0,2018-10-05,BYU,Utah State,-25.0,0,-76,-163.0,1412.097046,40.2575347,-111.6545247,63470.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
